review_text,review_rating,review_timestamp,clean_review
Keep on asking for activation code but none of them send to my phone! Tried to send email many times already but no feedback. Is there any way to solve this?,2,2016-10-08T08:51:47.000Z,keep on asking for activation code but none of them send to my phone tried to send email many times already but no feedback is there any way to solve this
When app has a cancel button but does not allow you to cancel a ride,1,2016-10-26T04:40:17.000Z,when app has a cancel button but does not allow you to cancel a ride
"Everything well done with you,thanks indeed",5,2016-11-30T12:44:23.000Z,everything well done with you thanks indeed
A Wonderful application to book a taxi faster,5,2015-06-11T04:33:05.000Z,a wonderful application to book a taxi faster
Continent and cheaper then taxi!,5,2016-11-03T15:26:22.000Z,continent and cheaper then taxi
It's very convenient for me,5,2016-08-11T10:56:33.000Z,it s very convenient for me
When I mark pick up location or destination on the map. It should be exactly that position to be shown on driver's phone. But the App always popped to the nearest landmark which direct the driver to wrong pick up location.,1,2015-07-26T18:55:32.000Z,when i mark pick up location or destination on the map it should be exactly that position to be shown on driver s phone but the app always popped to the nearest landmark which direct the driver to wrong pick up location
What's the point if your location is inaccurate and you can't change it?,1,2015-10-23T19:37:26.000Z,what s the point if your location is inaccurate and you can t change it
Good app.. keep up the good work and improvise ..,5,2016-12-06T12:04:58.000Z,good app keep up the good work and improvise
After the latest update. Each time i accepted a hitch the apps closed. It show app not working need to close. Please do something.,2,2016-10-22T13:36:17.000Z,after the latest update each time i accepted a hitch the apps closed it show app not working need to close please do something
Bagus banget banget banget,5,2016-07-10T15:03:01.000Z,bagus banget banget banget
I love grabtaxi. I feel safe and comfortable. Hassle-free commuting. GrabCar price is very reasonable.,5,2015-03-13T19:59:58.000Z,i love grabtaxi i feel safe and comfortable hassle free commuting grabcar price is very reasonable
Enjoy e trip,5,2015-07-29T05:29:06.000Z,enjoy e trip
Took me 3 times until i could book a ride. :) but maybe because it was rush hour :),5,2015-08-06T13:09:27.000Z,took me 3 times until i could book a ride but maybe because it was rush hour
Working app.,4,2015-03-07T11:07:23.000Z,working app
Laggy and doesn't update the user when a taxi has accepted the booking. There have been several times when the app told me that my taxi has arrived when it didn't even tell me beforehand that I had secured a booking. What's worse is that the app does not allow the user to cancel the booking if the taxi's already at the pick up point. So the users then have to call the driver and get scolded by him for wasting his time. Ridiculous.,1,2016-04-26T23:48:05.000Z,laggy and doesn t update the user when a taxi has accepted the booking there have been several times when the app told me that my taxi has arrived when it didn t even tell me beforehand that i had secured a booking what s worse is that the app does not allow the user to cancel the booking if the taxi s already at the pick up point so the users then have to call the driver and get scolded by him for wasting his time ridiculous
User interface is so good and amazing  experience with the application,5,2016-07-25T15:50:12.000Z,user interface is so good and amazing experience with the application
GarbExpress is a life saver! The only thing that I would change is make sure all riders have a box for the delivery contents.,4,2016-09-21T05:22:31.000Z,garbexpress is a life saver the only thing that i would change is make sure all riders have a box for the delivery contents
"It's a great app, but can I complain abt the attitude of the cab driver SHD9891U?",3,2014-06-28T23:00:18.000Z,it s a great app but can i complain abt the attitude of the cab driver shd9891u
"Thanks to GrabTaxi, now I don't havet o get paraniod when taking a taxi home at night. The drivers are so polite and on time.  There's a fee of 25 baht(i think) but it's really worth it.  Highly recommended to all the ladies out there with taxi-alone-phobia like me ;)",5,2014-04-05T10:35:01.000Z,thanks to grabtaxi now i don t havet o get paraniod when taking a taxi home at night the drivers are so polite and on time there s a fee of 25 baht i think but it s really worth it highly recommended to all the ladies out there with taxi alone phobia like me
"Map-nya sering banget ngaco,  susah juga buat nyari alamat.",3,2016-10-17T21:12:04.000Z,map nya sering banget ngaco susah juga buat nyari alamat
Very easy to use app..efficent,5,2016-10-11T15:19:16.000Z,very easy to use app efficent
Never disappoints,5,2016-07-07T01:29:38.000Z,never disappoints
"Aplikasi yang sangat membantu dalam bertransportasi, perbanyak armada dari masing-masing item grab dan lebih perbanyak lagi promo harga yang lebih murah. Karena akan semakin banyak peminat dan semakin banyak yang terbantu akan adanya transportasi umum ini. Dan antisipasi untuk musim hujan sediakan jas hujan untuk segala ukuran agar penumpang semakin nyaman dalam berkendaraan bermotor apabila hujan turun. Hujan bukan halangan untuk mencari rizki. Sukses terus grabbike",4,2015-11-11T21:26:33.000Z,aplikasi yang sangat membantu dalam bertransportasi perbanyak armada dari masing masing item grab dan lebih perbanyak lagi promo harga yang lebih murah karena akan semakin banyak peminat dan semakin banyak yang terbantu akan adanya transportasi umum ini dan antisipasi untuk musim hujan sediakan jas hujan untuk segala ukuran agar penumpang semakin nyaman dalam berkendaraan bermotor apabila hujan turun hujan bukan halangan untuk mencari rizki sukses terus grabbike
Very2 helpfull on my journey,5,2016-08-02T23:48:55.000Z,very2 helpfull on my journey
You interactt with very polite people,5,2016-09-09T03:56:38.000Z,you interactt with very polite people
thanks for your inovation..... so helpfull,5,2016-02-24T01:05:42.000Z,thanks for your inovation so helpfull
Excellent customer service.,5,2015-03-03T14:08:49.000Z,excellent customer service
Promo dan event yang diluncurkan sangat menarik dan mudah untuk digunakan sehari hari,5,2016-09-06T14:43:30.000Z,promo dan event yang diluncurkan sangat menarik dan mudah untuk digunakan sehari hari
It offers safety and convenience. Greeting and thanking the driver by their name also leaves a warm impression. Great app.,4,2016-05-11T11:48:02.000Z,it offers safety and convenience greeting and thanking the driver by their name also leaves a warm impression great app
I get addict with this app :p,4,2016-05-03T04:37:16.000Z,i get addict with this app p
Trip history and bookmarks always cleaned when I closed the app. I cannot check my yrips and have to create a new trip every time.,1,2015-11-14T20:56:13.000Z,trip history and bookmarks always cleaned when i closed the app i cannot check my yrips and have to create a new trip every time
Very effective and useful and it saves times.,5,2016-10-30T14:54:53.000Z,very effective and useful and it saves times
"Thumbs down bruh,mau pesen grabfood gak nemu trs drivernya",1,2016-10-10T13:26:49.000Z,thumbs down bruh mau pesen grabfood gak nemu trs drivernya
Safe and cool for drive,3,2016-09-20T22:53:09.000Z,safe and cool for drive
Better than i expected it.,4,2015-03-22T09:18:34.000Z,better than i expected it
Easy and so many discounts. Many benefits for passengers and drivers too,5,2015-01-20T14:12:39.000Z,easy and so many discounts many benefits for passengers and drivers too
Some drivers cancel when they're just within the vicinity after finding out that we use the promo codes. Please be professional.,3,2016-11-20T08:42:15.000Z,some drivers cancel when they re just within the vicinity after finding out that we use the promo codes please be professional
Thank you so much for GrabTaxi!,5,2015-06-14T13:02:10.000Z,thank you so much for grabtaxi
"Its cool with new update, could chat with driver ðŸ˜€",5,2016-11-01T11:23:52.000Z,its cool with new update could chat with driver
Great app. Easy to use. Great employees,5,2015-08-10T01:20:44.000Z,great app easy to use great employees
Fast cab allocation.,5,2016-02-02T23:10:36.000Z,fast cab allocation
Non stop GrabCar on repeat every single day! Makes my life traveling in Singapore waaaay less hassle~^^ Thanks a lot GrabTaxi Team!â¤,5,2015-07-06T00:10:17.000Z,non stop grabcar on repeat every single day makes my life traveling in singapore waaaay less hassle thanks a lot grabtaxi team
Puas dengan kemudahan penggunaan dan pelayanan,4,2015-05-19T08:28:05.000Z,puas dengan kemudahan penggunaan dan pelayanan
Use it everyday,5,2015-04-14T12:33:41.000Z,use it everyday
Can't even get a car to KLIA from Wangsa maju this morning 6am call up customer they tell me didn't have driver but on maps I saw bunch of driver loading my order but didn't pick. Some of them even ask me to cancel the booking n rebook what kind of service. I don't have this problem with uber. The fare was almost the same just 5ringgit different,1,2016-09-01T12:17:30.000Z,can t even get a car to klia from wangsa maju this morning 6am call up customer they tell me didn t have driver but on maps i saw bunch of driver loading my order but didn t pick some of them even ask me to cancel the booking n rebook what kind of service i don t have this problem with uber the fare was almost the same just 5ringgit different
Nice apps..easy to use,5,2015-07-25T04:43:39.000Z,nice apps easy to use
I love it so much !!!!!!,5,2015-04-16T20:40:22.000Z,i love it so much
"Thanks GrabTaxi .. Make me easy to booking taxi all the time.. Tp saya agak kecewa setelah aplikasi ini di update kmrn siang .. Saya lbh suka dengan tampilan yg lama pada saat mencari ojek / taksi .. Melihat ada di titik mana saja mereka berada.. Melihat mana yg hijau , mana yg merah , dan mana yg abu2 !!",3,2015-07-28T19:19:15.000Z,thanks grabtaxi make me easy to booking taxi all the time tp saya agak kecewa setelah aplikasi ini di update kmrn siang saya lbh suka dengan tampilan yg lama pada saat mencari ojek taksi melihat ada di titik mana saja mereka berada melihat mana yg hijau mana yg merah dan mana yg abu2
"During rush hours it's a pain, 80% no one response my request. It will take you at least 10 times to get a grab taxi. During non rush hours it's ok but will think twice if the promos had ended.",3,2015-05-29T08:06:16.000Z,during rush hours it s a pain 80 no one response my request it will take you at least 10 times to get a grab taxi during non rush hours it s ok but will think twice if the promos had ended
We using this app to book a ride at least for an hour and re book for more than 20 times still nobody is accept the order.since you guys are not willing to accept the order why waste such an effort to make this app?,1,2015-07-31T02:37:06.000Z,we using this app to book a ride at least for an hour and re book for more than 20 times still nobody is accept the order since you guys are not willing to accept the order why waste such an effort to make this app
Was waiting for cab so long and was trying to book a cab on the comfort taxi booking app.. but have no cab..and suddenly I saw this app on facebook and decide to try... and guess wat.. within 3min I got a cab.. keep it up..,5,2014-01-25T04:22:53.000Z,was waiting for cab so long and was trying to book a cab on the comfort taxi booking app but have no cab and suddenly i saw this app on facebook and decide to try and guess wat within 3min i got a cab keep it up
"It's quite good but a very inconvenient thing is that sometimes I want to book more than 1 car, or more than 1 bike. But it's impossible because when I've just booked 1 car, the previous search result is on the screen, and I cant exit to find another car. It's very very inconvenient.",3,2016-05-15T22:15:16.000Z,it s quite good but a very inconvenient thing is that sometimes i want to book more than 1 car or more than 1 bike but it s impossible because when i ve just booked 1 car the previous search result is on the screen and i cant exit to find another car it s very very inconvenient
Can see many taxis around me but this app is not able to find a single one,1,2014-10-10T01:49:06.000Z,can see many taxis around me but this app is not able to find a single one
When I travel to a place it's Rp31.000 when going home back it's Rp 51.000. Not fair,3,2016-02-15T07:02:44.000Z,when i travel to a place it s rp31 000 when going home back it s rp 51 000 not fair
Force close on my One plus one already fixed.,4,2015-11-23T01:33:59.000Z,force close on my one plus one already fixed
driver went to wrong location and request that I cancel booking but I realised app doesn't allow me to as it state driver is nearby. it's on drivers request as je can't find the place yet I can't cancel. in the end I download another app and made another booking. no flexibility I'm this app,1,2015-09-10T14:29:28.000Z,driver went to wrong location and request that i cancel booking but i realised app doesn t allow me to as it state driver is nearby it s on drivers request as je can t find the place yet i can t cancel in the end i download another app and made another booking no flexibility i m this app
Nice app order,5,2015-12-14T11:07:04.000Z,nice app order
It would be great if calls will be diverted to a voip call,3,2013-09-13T13:36:26.000Z,it would be great if calls will be diverted to a voip call
Can't cancel. The new upgrade isn't as good as the older version. Pls. Fix it.,2,2015-09-03T12:36:34.000Z,can t cancel the new upgrade isn t as good as the older version pls fix it
Indicates how many taxis in the area and gives phone number of the cab in case they can't find you. Works great in Singapore.,5,2014-04-05T04:02:15.000Z,indicates how many taxis in the area and gives phone number of the cab in case they can t find you works great in singapore
"Kalau hp habis batre / buang aplikasi setelah order, jadi auto rating 0 bintang. Saya ingin rating 5 bintang menjadi 0 bintang karena auto rating. Tolong di perbaiki",2,2016-02-13T03:27:46.000Z,kalau hp habis batre buang aplikasi setelah order jadi auto rating 0 bintang saya ingin rating 5 bintang menjadi 0 bintang karena auto rating tolong di perbaiki
"I have used it twice now, and both times they where good, great customer service. Thank you for an amazing service.",5,2015-01-21T09:20:46.000Z,i have used it twice now and both times they where good great customer service thank you for an amazing service
Grab driver kept on cancelling after waiting for 30 mins for them to arrive. Such a disappointment!,2,2016-11-09T10:20:38.000Z,grab driver kept on cancelling after waiting for 30 mins for them to arrive such a disappointment
Grab taxi is a worry and safe free... ive tried them twice alrdy.. once u submit your booking jst make sure that youre prepared alrdy because thats how fast they are. They'l be at your doorstep in a couple of mins. Thumbs up for grabtaxi!,4,2015-01-11T23:12:50.000Z,grab taxi is a worry and safe free ive tried them twice alrdy once u submit your booking jst make sure that youre prepared alrdy because thats how fast they are they l be at your doorstep in a couple of mins thumbs up for grabtaxi
I am from India,5,2016-02-07T12:47:45.000Z,i am from india
The estimated fare on this app won't show. :(,5,2016-03-28T08:21:08.000Z,the estimated fare on this app won t show
Same as titles,1,2016-07-27T03:45:25.000Z,same as titles
It helps much,5,2016-01-23T04:21:19.000Z,it helps much
"Lebih mudah, aman, dan nyaman",5,2016-03-17T16:19:09.000Z,lebih mudah aman dan nyaman
Best taxi booking in singapore,5,2015-03-06T02:26:15.000Z,best taxi booking in singapore
Cant use to my hp,1,2016-12-02T21:13:48.000Z,cant use to my hp
Smooth app. Bravo.,5,2016-02-01T04:54:09.000Z,smooth app bravo
Drivers are fast and efficient too. They are very honest as well. I accidently left my phone in the car and the driver came to bukit batok from pasir ris just to return back my phone without accepting any money for the trouble. Awesome service by Mr Hock Leong!,5,2016-05-01T17:17:34.000Z,drivers are fast and efficient too they are very honest as well i accidently left my phone in the car and the driver came to bukit batok from pasir ris just to return back my phone without accepting any money for the trouble awesome service by mr hock leong
Im never late again,4,2015-08-23T03:17:57.000Z,im never late again
Very enjoy with this application. I love it,5,2016-10-14T09:32:58.000Z,very enjoy with this application i love it
Politik Praktis? Hated it. I'm uninstalling it right now.,1,2016-11-17T04:37:03.000Z,politik praktis hated it i m uninstalling it right now
Driver sok sibuk,5,2016-09-19T09:21:53.000Z,driver sok sibuk
GrabPay functions is back!!,4,2016-04-13T01:17:33.000Z,grabpay functions is back
"Thx Gb,..",5,2015-08-26T06:37:03.000Z,thx gb
All reach my destination on time don't have to look for taxi the best,5,2016-12-03T10:58:52.000Z,all reach my destination on time don t have to look for taxi the best
"Promonya mantap, semangat ya grabbikers",5,2015-08-04T02:00:50.000Z,promonya mantap semangat ya grabbikers
How to activate account suspended,1,2016-06-05T16:09:40.000Z,how to activate account suspended
Setiap buka aplikasi selalu automatic lockscreen,3,2015-08-23T19:28:18.000Z,setiap buka aplikasi selalu automatic lockscreen
The app is still very easy to use though you might want to consider including in the app's setting an option to choose the default mode of payment. Happy Grabber here ðŸ˜ŠðŸ‘,5,2016-11-22T03:51:46.000Z,the app is still very easy to use though you might want to consider including in the app s setting an option to choose the default mode of payment happy grabber here
Always happy with the service.,5,2016-08-16T02:34:18.000Z,always happy with the service
"Awesome app, really efficient!!",5,2015-05-05T00:44:28.000Z,awesome app really efficient
Hope this is the better one and always be there .anytime,4,2016-06-02T00:37:31.000Z,hope this is the better one and always be there anytime
Berguna banget untuk kebutuhan sehari hari,5,2015-11-22T22:39:05.000Z,berguna banget untuk kebutuhan sehari hari
Mau make Grab tp apps lu ribet bos..pake kudu log in facebook segala..unninstal,1,2016-11-13T12:10:18.000Z,mau make grab tp apps lu ribet bos pake kudu log in facebook segala unninstal
Wonderful grab car experience!,5,2015-05-29T13:03:05.000Z,wonderful grab car experience
"Useful App, all of the drivers are well trained, polite, and put the safety of the passenger as their priority.",5,2016-10-06T13:36:56.000Z,useful app all of the drivers are well trained polite and put the safety of the passenger as their priority
Reinstalled it again due to factory data reset. Now the map section appears only black. Anyway this has been my companion whenever I go to school. Very convenient. Thanks Grabtaxi!,4,2015-11-07T02:58:39.000Z,reinstalled it again due to factory data reset now the map section appears only black anyway this has been my companion whenever i go to school very convenient thanks grabtaxi
I find this app very useful specially on emergencies like weather and the like. This app works realtime!,5,2015-02-14T10:36:16.000Z,i find this app very useful specially on emergencies like weather and the like this app works realtime
Profesional driver wer safe too,5,2015-04-18T04:49:23.000Z,profesional driver wer safe too
"Before the updated version, the app was working fine . Now, I can't even book a cab and my number is being banned for no reason. Called the support team and till now they haven't give me an answer yet.",1,2015-09-05T05:00:42.000Z,before the updated version the app was working fine now i can t even book a cab and my number is being banned for no reason called the support team and till now they haven t give me an answer yet
"Aside from the fact that they don't still give me updates about my reimbursement, the app is okay.",3,2016-11-23T16:20:10.000Z,aside from the fact that they don t still give me updates about my reimbursement the app is okay
Helpful I love it,5,2016-06-18T05:30:08.000Z,helpful i love it
"Why does Grab request access for accessing media, photo and file in my phone storage??? I find the request is irrelevant with the service. #spying",1,2016-02-03T11:04:44.000Z,why does grab request access for accessing media photo and file in my phone storage i find the request is irrelevant with the service spying
Very precise on timing,5,2016-02-07T11:37:27.000Z,very precise on timing
I could not open the apps after upgrade to Android 6. What happened? Please fix.,5,2016-11-28T22:53:50.000Z,i could not open the apps after upgrade to android 6 what happened please fix
Booked my cab using the choose pick up option but it turned out to be inaccurate and had the support to make me cancel the booked ride,1,2015-10-21T04:04:15.000Z,booked my cab using the choose pick up option but it turned out to be inaccurate and had the support to make me cancel the booked ride
Very nice app. Fast respone and good behaviour for the driver.,5,2016-02-15T10:59:45.000Z,very nice app fast respone and good behaviour for the driver
"Just uninstalled it, grab indonesia is supporting a bad people",1,2016-11-17T16:17:24.000Z,just uninstalled it grab indonesia is supporting a bad people
Mantap apps,5,2016-10-26T00:13:57.000Z,mantap apps
Loved It! I can go to my destination in a minute!,5,2015-07-03T00:15:05.000Z,loved it i can go to my destination in a minute
A good and easy way to order a taxi,4,2014-08-21T08:48:01.000Z,a good and easy way to order a taxi
You can get the driver wherever you are hehe,4,2016-08-14T01:33:35.000Z,you can get the driver wherever you are hehe
Terakomodir..murah dn pelayanan yg luar biasa,5,2016-04-15T13:58:08.000Z,terakomodir murah dn pelayanan yg luar biasa
commuting makes easy.. thank u grab :),5,2016-09-25T15:47:34.000Z,commuting makes easy thank u grab
"This app very easy to use and i had propose for my friends, my family as well. But sometime, GPS doesnt work so the driver couldn't pick me at the time or at the correct place. You should improve or solve this problem to keep your customer.",5,2016-11-18T14:02:34.000Z,this app very easy to use and i had propose for my friends my family as well but sometime gps doesnt work so the driver couldn t pick me at the time or at the correct place you should improve or solve this problem to keep your customer
It's a life saving app helps you when you are stranded,5,2016-05-19T06:45:28.000Z,it s a life saving app helps you when you are stranded
The best taxi booking app by far. Been using it at least 5 times a week and it never fails to amaze me with its speed and efficiency. Kudos to the team behind this great app!,5,2015-03-25T22:13:30.000Z,the best taxi booking app by far been using it at least 5 times a week and it never fails to amaze me with its speed and efficiency kudos to the team behind this great app
Pls fix GPS so the drivers do not get confused in toa payoh area. Thanks.,2,2015-12-07T01:11:41.000Z,pls fix gps so the drivers do not get confused in toa payoh area thanks
I'll give 5 stars if I can make scheduled bookings.,4,2016-05-30T23:49:06.000Z,i ll give 5 stars if i can make scheduled bookings
Very reliable app,5,2015-01-14T15:33:21.000Z,very reliable app
I used this Grabcar app in Malaysia and it's cheaper and much better then finding a normal taxi in Kuala Lumpur.,4,2016-08-17T09:10:02.000Z,i used this grabcar app in malaysia and it s cheaper and much better then finding a normal taxi in kuala lumpur
3 star because i can't find the visa card section to registered.,3,2016-02-23T22:18:48.000Z,3 star because i can t find the visa card section to registered
"Tlg drivernya dikasih arahan. Dilatih attitudenya agar terlihat profesional. Dan utk promo seharusnya driver patuh dgn ketentuan yg ada. 5rb. Trs jg driver grabbike ga sigap, masa udah arrived, ga tlp/ sms. 2x order grabbike dpt driver yg sama sekali tdk memuaskan. Dr segi aplikasi jg grabbike terlalu makan batre, krn slama finding driver sampai driver arrived, GPS terus aktif. Tlg diperbaiki.",1,2015-07-28T17:17:28.000Z,tlg drivernya dikasih arahan dilatih attitudenya agar terlihat profesional dan utk promo seharusnya driver patuh dgn ketentuan yg ada 5rb trs jg driver grabbike ga sigap masa udah arrived ga tlp sms 2x order grabbike dpt driver yg sama sekali tdk memuaskan dr segi aplikasi jg grabbike terlalu makan batre krn slama finding driver sampai driver arrived gps terus aktif tlg diperbaiki
Update app to include reviews from passengers.,4,2016-04-12T02:52:52.000Z,update app to include reviews from passengers
driver always cancel booking,2,2016-10-26T07:38:05.000Z,driver always cancel booking
Really helpful,5,2013-12-21T14:08:09.000Z,really helpful
Updated the app today (2/2/16) and its totally not working! the white background and new logo would take a few minutes to load until it shows 'Try checking the Internet connection' when the internet connection is working perfectly fine. Please fix the update. A lot of us needs Grab especially in the wee hours of the morning. This used to be for convenience. But its starting to become a great hassle.,1,2016-02-01T21:00:56.000Z,updated the app today 2 2 16 and its totally not working the white background and new logo would take a few minutes to load until it shows try checking the internet connection when the internet connection is working perfectly fine please fix the update a lot of us needs grab especially in the wee hours of the morning this used to be for convenience but its starting to become a great hassle
sent the most expensive taxi when I asked for a standard taxi. Driver said it's system assigned. took 15 mins to get a cab tho there's plenty around!  NEVER GONNA USE THIS F***KING APP EVER AGAIN!!! Time to switch back to Comfort.,1,2015-07-22T13:11:59.000Z,sent the most expensive taxi when i asked for a standard taxi driver said it s system assigned took 15 mins to get a cab tho there s plenty around never gonna use this f king app ever again time to switch back to comfort
You can go everywhere by one click,4,2016-04-22T13:01:39.000Z,you can go everywhere by one click
I love the app so much. Very easy and it give about two minutes more than estimated time so the drivers always arrive earlier. I love it. Thanks to Grab Teksi.,5,2015-09-01T02:19:38.000Z,i love the app so much very easy and it give about two minutes more than estimated time so the drivers always arrive earlier i love it thanks to grab teksi
Can a password be added like in Google play store to avoid being used in case phone gets stolen?,5,2016-07-13T17:46:43.000Z,can a password be added like in google play store to avoid being used in case phone gets stolen
Thanks for the update,5,2015-11-23T04:35:26.000Z,thanks for the update
Always available and arives on time. Haven't had any problem since i downloaded the app :),5,2016-10-10T23:22:18.000Z,always available and arives on time haven t had any problem since i downloaded the app
Thank you i just wish i will get some promo,5,2016-10-05T04:34:19.000Z,thank you i just wish i will get some promo
will give 5 star for more accurate location tag.,4,2015-03-17T12:59:36.000Z,will give 5 star for more accurate location tag
Got my taxi the last few times i used the apps. Not sure if I can close the apps while waiting for the taxi to come. Hope someone can tell me...,4,2015-05-08T12:51:14.000Z,got my taxi the last few times i used the apps not sure if i can close the apps while waiting for the taxi to come hope someone can tell me
Try n learnd,5,2016-10-07T21:15:08.000Z,try n learnd
lebih cepat..slallu ditingkatkan pelayanannya,5,2016-04-26T13:52:19.000Z,lebih cepat slallu ditingkatkan pelayanannya
Way better than Uber.. driver too young are dangerous..,5,2016-11-18T13:28:51.000Z,way better than uber driver too young are dangerous
Good App... good driver... good rate....,5,2016-07-30T11:43:38.000Z,good app good driver good rate
Thanks for the use of the grab a taxi . It's very good.,5,2015-11-11T11:46:07.000Z,thanks for the use of the grab a taxi it s very good
Very easy and efficient way to get a taxi. Very reliable.,5,2014-12-08T12:20:02.000Z,very easy and efficient way to get a taxi very reliable
Your Grabvisa promotion was a farce! When I tried to enter the promo code the App's prompt says I am not entitled. I have deleted my credit card details (after making 2 payments with it) from your App to be safe.,1,2016-08-24T09:06:51.000Z,your grabvisa promotion was a farce when i tried to enter the promo code the app s prompt says i am not entitled i have deleted my credit card details after making 2 payments with it from your app to be safe
namimili ng pasahero ang mga driver ng grab taxi.. ayaw nila pag walab tip,1,2015-05-12T05:32:57.000Z,namimili ng pasahero ang mga driver ng grab taxi ayaw nila pag walab tip
Sebulan pake grab terus dan selalu memuaskan. Datengnya cepet dan setiap mau bayar bilang kalo dpt promo langsung dipotong deh sip,5,2015-08-04T04:38:56.000Z,sebulan pake grab terus dan selalu memuaskan datengnya cepet dan setiap mau bayar bilang kalo dpt promo langsung dipotong deh sip
It's loading for vehicle for years,1,2016-09-23T04:00:16.000Z,it s loading for vehicle for years
"Best taxi app ever, drivers and passengers both love it.",5,2014-06-17T08:49:52.000Z,best taxi app ever drivers and passengers both love it
The app needs to handle payment. Some taxi in Singapore only accept cash and that inconvenience many users like me who prefer electronic transactions.,3,2014-08-12T09:58:11.000Z,the app needs to handle payment some taxi in singapore only accept cash and that inconvenience many users like me who prefer electronic transactions
Ada app yg ikut politik..UNINSTALL,1,2016-11-23T03:29:35.000Z,ada app yg ikut politik uninstall
"Sarap mag grab.. Mura na, feeling pogi kpa.. Hahaha joke lng..",5,2016-07-18T12:35:15.000Z,sarap mag grab mura na feeling pogi kpa hahaha joke lng
promo using crÃ©dit catd is scam.  vannot use it.,1,2016-08-11T04:14:18.000Z,promo using cr dit catd is scam vannot use it
Very useful and efficient.,5,2015-03-22T23:14:01.000Z,very useful and efficient
Akirnya bisa juga grab di note 2 yang sebelumnya grab selalu crash stiap di buka. Thx udah bisa lagi di infinix note 2,5,2016-05-20T14:21:23.000Z,akirnya bisa juga grab di note 2 yang sebelumnya grab selalu crash stiap di buka thx udah bisa lagi di infinix note 2
Really help me,5,2015-05-20T02:53:14.000Z,really help me
Tidak bisa dicancel,1,2016-07-27T02:09:48.000Z,tidak bisa dicancel
Things what i need when im to lazy to drive my own car facing massive traffic in jakarta LOL,5,2016-09-30T15:30:51.000Z,things what i need when im to lazy to drive my own car facing massive traffic in jakarta lol
"Fast, convenient, simple to use",5,2015-06-11T10:10:12.000Z,fast convenient simple to use
"What a very usefull apps. But, it would be better if we can pay cashless, like directly debited from our credit cards or using e-cash.  More promos please ;)",4,2015-10-11T10:10:30.000Z,what a very usefull apps but it would be better if we can pay cashless like directly debited from our credit cards or using e cash more promos please
This app really helpful. I will suggest this app to my friend. Thanks :),5,2016-11-12T18:56:08.000Z,this app really helpful i will suggest this app to my friend thanks
This app wants too much personal information all you need is my location,1,2016-07-28T15:26:49.000Z,this app wants too much personal information all you need is my location
Great app. Got a taxi in 5 mins.and it was raining hard that time. Kudos!,5,2014-08-15T04:33:42.000Z,great app got a taxi in 5 mins and it was raining hard that time kudos
I cant see the estimated fares after i set my drop off point.,1,2016-04-28T05:55:44.000Z,i cant see the estimated fares after i set my drop off point
"Very perfect , and very helpful",5,2016-03-10T07:31:01.000Z,very perfect and very helpful
The interface of the app is easy to understand. Easy to send feedbaxk and rate the drivers :),5,2016-10-03T15:56:06.000Z,the interface of the app is easy to understand easy to send feedbaxk and rate the drivers
"Untuk pemesanan grabcar tidak ada masalah, tetapi setelah order selesai saya tidak pernah bisa memberikan rating ke drivernya. Tolong diperbaiki lagi aplikasinya",3,2016-02-11T11:55:59.000Z,untuk pemesanan grabcar tidak ada masalah tetapi setelah order selesai saya tidak pernah bisa memberikan rating ke drivernya tolong diperbaiki lagi aplikasinya
"Cant even receive the confirmation code over a half hour period, kept saying unable to send code. Called 20 over times to the customer service hotline to rectify and only the music greeted me, not even once did any human pick up the call",1,2015-08-17T10:59:39.000Z,cant even receive the confirmation code over a half hour period kept saying unable to send code called 20 over times to the customer service hotline to rectify and only the music greeted me not even once did any human pick up the call
Lumayan buat hemat waktu di jakarta yang macetnya kebangetan,3,2015-07-28T11:17:04.000Z,lumayan buat hemat waktu di jakarta yang macetnya kebangetan
Quick and accurate,4,2016-04-06T01:32:28.000Z,quick and accurate
"Drivernya pilih2 rute, apalagi jam sibuk, mending pake yg sebelah, kecewa bgt",1,2016-10-02T13:50:14.000Z,drivernya pilih2 rute apalagi jam sibuk mending pake yg sebelah kecewa bgt
BUT i love the promos!!! Keep it up!!!,4,2016-11-29T15:14:16.000Z,but i love the promos keep it up
I don't know why locations don't show up on my phone.,2,2016-01-29T22:47:43.000Z,i don t know why locations don t show up on my phone
So convenient and practical! Hope there will be more GrabCars around the country! :),5,2016-10-03T13:17:58.000Z,so convenient and practical hope there will be more grabcars around the country
when i needed it the most :(,1,2016-04-20T17:11:57.000Z,when i needed it the most
"Good service n good price ditingkatkan lgi pelayanan nya, always helpfull",5,2016-07-28T04:50:10.000Z,good service n good price ditingkatkan lgi pelayanan nya always helpfull
It's great to be part of grab,5,2016-11-15T01:53:43.000Z,it s great to be part of grab
"Sucks, hard to download, sometimes does not start",1,2016-02-04T03:30:37.000Z,sucks hard to download sometimes does not start
"Sangat membantu sekali untuk urusan transportasi, suatu terobosan yang memukau",5,2016-10-07T11:28:30.000Z,sangat membantu sekali untuk urusan transportasi suatu terobosan yang memukau
Stable apps!,5,2016-09-13T14:38:34.000Z,stable apps
affordable and can be reach easily.,5,2016-10-21T18:24:19.000Z,affordable and can be reach easily
Always my 1st option to use this app to grab cab,4,2015-01-25T01:19:47.000Z,always my 1st option to use this app to grab cab
